feedback_id,clause,sentiment,sentiment_confidence
0,customer support was slightly disappointing,negative,0.9093
0,billing had a small discrepancy,neutral,0.8311
1,the experience was decent,positive,0.9294
1,and the final billed amount differed slightly and needs some improvement,neutral,0.595
2,Superr 10 out of 10,positive,0.7102
3,wow nice option,positive,0.9327
4,i found the buying process to be quite good,positive,0.9384
4,the return pickup was delayed which slightly affected my experience,negative,0.8206
5,using the app was inconsistent,negative,0.7601
5,billing had a small discrepancy,neutral,0.8311
6,the ordering experience felt a bit confusing,negative,0.6626
6,payment failed once before succeeding,neutral,0.5795
7,using the app was decent,positive,0.8401
7,communication from support could be better,neutral,0.521
8,From my experience,neutral,0.7509
8,the checkout process seemed decent,positive,0.8216
8,the invoice was not easy to access,negative,0.828
8,not a major concern,neutral,0.6826
9,The experience was good,positive,0.9722
10,customer support was better than expected,positive,0.9678
10,the invoice was not easy to access,negative,0.828
11,i found the buying process to be mostly fine,positive,0.6349
12,customer support was frustrating,negative,0.9218
12,payment failed once before succeeding,neutral,0.5795
13,the experience was mostly fine,positive,0.896
13,and refund processing was slower than promised,negative,0.852
14,billing and payment were not very impressive,negative,0.8618
15,the delivery experience turned out to be not very impressive,negative,0.8797
16,the ordering experience felt smooth,positive,0.9088
17,billing and payment were satisfactory,positive,0.8478
17,everything worked fine which could be improved,positive,0.8023
18,the checkout process seemed better than expected,positive,0.9376
18,coupon application did not work properly,negative,0.8587
19,i found the buying process to be inconsistent,negative,0.7412
20,billing and payment were decent,positive,0.6978
20,everything worked fine,positive,0.7039
21,my interaction with customer care was worse than expected,negative,0.9391
22,from browsing to delivery,neutral,0.84
22,the experience was decent,positive,0.9294
22,coupon application did not work properly,negative,0.8587
23,the checkout process seemed worse than expected,negative,0.9172
23,billing had a small discrepancy,neutral,0.8311
24,i found the buying process to be slightly disappointing,negative,0.8862
24,and the app lagged during checkout which could be improved,negative,0.8118
25,billing and payment were satisfactory,positive,0.8478
25,the return pickup was delayed,negative,0.5779
26,the checkout process seemed slightly disappointing,negative,0.8693
26,support eventually resolved the issue which could be improved,neutral,0.5016
27,the ordering experience felt worse than expected,negative,0.9332
27,and the final billed amount differed slightly which could be improved,neutral,0.7765
28,the delivery experience turned out to be slow at times,negative,0.8142
28,coupon application did not work properly,negative,0.8587
29,using the app was decent,positive,0.8401
29,payment failed once before succeeding,neutral,0.5795
