feedback,character_count,word_count,sentiment,sentiment_confidence
"customer support was slightly disappointing, but billing had a small discrepancy",80,11,negative,0.8986
"the experience was decent, and the final billed amount differed slightly and needs some improvement",99,15,positive,0.8513
Superr 10 out of 10,19,5,positive,0.7102
wow nice option,15,3,positive,0.9327
"i found the buying process to be quite good, though the return pickup was delayed which slightly affected my experience",119,20,positive,0.8152
", using the app was inconsistent, but billing had a small discrepancy",69,12,negative,0.591
"the ordering experience felt a bit confusing, but payment failed once before succeeding but manageable",102,15,negative,0.608
"using the app was decent, but communication from support could be better",72,12,positive,0.5983
"From my experience, the checkout process seemed decent, though the invoice was not easy to access but not a major concern",121,21,positive,0.5811
The experience was good,23,4,positive,0.9722
"customer support was better than expected, though the invoice was not easy to access",84,14,positive,0.8164
", i found the buying process to be mostly fine",46,10,positive,0.7316
", customer support was frustrating, but payment failed once before succeeding",77,11,negative,0.9033
", the experience was mostly fine, and refund processing was slower than promised",80,13,positive,0.8527
", billing and payment were not very impressive",46,8,negative,0.8702
", the delivery experience turned out to be not very impressive",62,11,negative,0.8883
the ordering experience felt smooth,35,5,positive,0.9088
", billing and payment were satisfactory, though everything worked fine which could be improved",94,14,positive,0.9132
"the checkout process seemed better than expected, but coupon application did not work properly",94,14,negative,0.7336
", i found the buying process to be inconsistent",47,9,negative,0.7726
"billing and payment were decent, though everything worked fine",62,9,positive,0.8515
", my interaction with customer care was worse than expected",59,10,negative,0.9384
", from browsing to delivery, the experience was decent, but coupon application did not work properly",100,16,neutral,0.3692
", the checkout process seemed worse than expected, billing had a small discrepancy",82,13,negative,0.9072
"i found the buying process to be slightly disappointing, and the app lagged during checkout which could be improved",115,19,negative,0.9212
", billing and payment were satisfactory, though the return pickup was delayed",77,12,positive,0.834
", the checkout process seemed slightly disappointing, though support eventually resolved the issue which could be improved",122,17,negative,0.7899
", the ordering experience felt worse than expected, and the final billed amount differed slightly which could be improved",121,19,negative,0.9211
", the delivery experience turned out to be slow at times, but coupon application did not work properly but manageable",117,20,negative,0.8841
"Ok, using the app was decent, but payment failed once before succeeding",71,12,neutral,0.4798
", the experience was decent, but coupon application did not work properly and needs some improvement",100,16,negative,0.795
"my interaction with customer care was mostly fine, but payment failed once before succeeding which could be improved",116,18,neutral,0.4774
", the ordering experience felt slightly disappointing, but communication from support could be better",101,14,negative,0.9085
"well, its like any other what to tell new nothing",49,10,negative,0.4957
", the experience was pleasant, but communication from support could be better but manageable",92,14,positive,0.8988
"customer support was satisfactory, though everything worked fine",64,8,positive,0.9396
"i found the buying process to be frustrating, though support eventually resolved the issue but not a major concern",114,19,negative,0.8074
"customer support was better than expected, and refund processing was slower than promised which could be improved",113,17,positive,0.9065
", the experience was satisfactory, and the final billed amount differed slightly",80,12,positive,0.9277
", using the app was average, but coupon application did not work properly which could be improved",97,17,negative,0.9068
"From my experience, customer support was inconsistent, and the app froze briefly during checkout",96,14,negative,0.8737
Verry happy man good option,27,5,positive,0.9413
"using the app was inconsistent, and tracking updates were not regular",69,11,negative,0.7658
", the experience was fairly efficient, though the delivery was delayed by a couple of days",90,16,positive,0.9158
"billing and payment were a bit confusing, but coupon application did not work properly",86,14,negative,0.863
", billing and payment were slightly disappointing, but billing had a small discrepancy",86,13,negative,0.8523
